new_index,future,0,state
0,2019,0.495987445949166,Alabama
1,2019,0.3492514545182603,Alaska
2,2019,0.3621258748777548,Arizona
3,2019,0.4384332029976557,Arkansas
4,2019,0.24964989220457415,California
5,2019,0.33192850248005007,Colorado
6,2019,0.30563989626946314,Connecticut
7,2019,0.31801108401683137,Delaware
8,2019,0.29832374232298914,Florida
9,2019,0.4475455556315224,Georgia
10,2019,0.26506907486986325,Hawaii
11,2019,0.26214644185700825,Idaho
12,2019,0.36875397640096375,Illinois
13,2019,0.38173613193481787,Indiana
14,2019,0.26851171786821804,Iowa
15,2019,0.35872828796701856,Kansas
16,2019,0.40501132827365693,Kentucky
17,2019,0.5563510305260413,Louisiana
18,2019,0.2718795996627148,Maine
19,2019,0.34617142328149103,Maryland
20,2019,0.2790139284149932,Massachusetts
21,2019,0.3004355825522721,Michigan
22,2019,0.2323775747248606,Minnesota
23,2019,0.507472468801025,Mississippi
24,2019,0.3492514545182603,Missouri
25,2019,0.27820692663706137,Montana
26,2019,0.29230949904160536,Nebraska
27,2019,0.43808057291874164,Nevada
28,2019,0.22128352381306057,New Hampshire
29,2019,0.3186413728499225,New Jersey
30,2019,0.47839698117720486,New Mexico
31,2019,0.33891153105330474,New York
32,2019,0.3855180134115551,North Carolina
33,2019,0.2428373625398653,North Dakota
34,2019,0.3411701088880627,Ohio
35,2019,0.4658125288659592,Oklahoma
36,2019,0.30625236122606825,Oregon
37,2019,0.3286830818000423,Pennsylvania
38,2019,0.29562661523556977,Rhode Island
39,2019,0.4257613924167414,South Carolina
40,2019,0.29026033542505275,South Dakota
41,2019,0.3967504954739454,Tennessee
42,2019,0.3889463780456222,Texas
43,2019,0.32714805163243804,Utah
44,2019,0.232284114953971,Vermont
45,2019,0.33231719785817054,Virginia
46,2019,0.27255690125875276,Washington
47,2019,0.3621161347541439,West Virginia
48,2019,0.2662847247388014,Wisconsin
49,2019,0.296452397179646,Wyoming
