new_index,future,0,state
0,2019,2.7784196538258183,Alabama
1,2019,0.7287500863602813,Alaska
2,2019,1.4437091108097022,Arizona
3,2019,1.8618760804206858,Arkansas
4,2019,1.8176675644892981,California
5,2019,0.8504270828347811,Colorado
6,2019,2.2514574908478866,Connecticut
7,2019,4.452904279848874,Delaware
8,2019,5.153730372355095,Florida
9,2019,4.369705287549185,Georgia
10,2019,0.8872289359482358,Hawaii
11,2019,0.36103238260393455,Idaho
12,2019,1.5502339643033347,Illinois
13,2019,1.0842026014806936,Indiana
14,2019,0.4583468773412165,Iowa
15,2019,0.6825455939036011,Kansas
16,2019,1.0466375285292815,Kentucky
17,2019,5.106397831058415,Louisiana
18,2019,0.5201230583322671,Maine
19,2019,4.3813812615272205,Maryland
20,2019,1.4247761404280748,Massachusetts
21,2019,1.0158367065760323,Michigan
22,2019,0.5564757745143339,Minnesota
23,2019,4.4792173865476075,Mississippi
24,2019,1.1740985123405816,Missouri
25,2019,0.35570268928334947,Montana
26,2019,0.754849770605923,Nebraska
27,2019,2.2175143204106518,Nevada
28,2019,0.37276758435614094,New Hampshire
29,2019,3.556096073084548,New Jersey
30,2019,1.093151305862106,New Mexico
31,2019,4.063202196362178,New York
32,2019,2.9022752085597365,North Carolina
33,2019,0.2970838703687487,North Dakota
34,2019,1.1148502887098475,Ohio
35,2019,1.4945314943548724,Oklahoma
36,2019,0.8876734087611349,Oregon
37,2019,1.6515862010914073,Pennsylvania
38,2019,1.32780430616576,Rhode Island
39,2019,3.8439833741640728,South Carolina
40,2019,0.47798409794649216,South Dakota
41,2019,2.5616363875465087,Tennessee
42,2019,2.761545172931347,Texas
43,2019,0.4738041170973402,Utah
44,2019,0.3657186100621413,Vermont
45,2019,1.6601944834897824,Virginia
46,2019,0.8617629553713613,Washington
47,2019,0.7047835649035776,West Virginia
48,2019,0.5478373914124148,Wisconsin
49,2019,0.302632429227322,Wyoming
