new_index,future,0,state
0,2019,37.883787360104655,Alabama
1,2019,15.37729012328654,Alaska
2,2019,16.37123387068521,Arizona
3,2019,38.967047038117656,Arkansas
4,2019,18.411915679362092,California
5,2019,20.563829484120035,Colorado
6,2019,26.451815192187862,Connecticut
7,2019,26.677937079267796,Delaware
8,2019,16.306177891346483,Florida
9,2019,34.109152373428415,Georgia
10,2019,30.233492892811537,Hawaii
11,2019,18.374123715547086,Idaho
12,2019,29.292351964522528,Illinois
13,2019,28.622067352977272,Indiana
14,2019,23.139949958251613,Iowa
15,2019,28.927262015798167,Kansas
16,2019,35.66526947503627,Kentucky
17,2019,38.212170631071864,Louisiana
18,2019,22.549374676503124,Maine
19,2019,30.858311670048238,Maryland
20,2019,27.19630731611319,Massachusetts
21,2019,23.886944287782544,Michigan
22,2019,15.493256189067953,Minnesota
23,2019,42.14515720105074,Mississippi
24,2019,29.388191246955678,Missouri
25,2019,20.9790125085874,Montana
26,2019,21.158062719389623,Nebraska
27,2019,31.945676344960575,Nevada
28,2019,18.61373970271802,New Hampshire
29,2019,26.864679589464657,New Jersey
30,2019,22.302479671464184,New Mexico
31,2019,28.66498185392231,New York
32,2019,30.525931781012595,North Carolina
33,2019,21.33779435589253,North Dakota
34,2019,27.617958095269636,Ohio
35,2019,30.315667527412888,Oklahoma
36,2019,14.117639714413272,Oregon
37,2019,28.290474074239924,Pennsylvania
38,2019,23.852607286389723,Rhode Island
39,2019,27.643909367925332,South Carolina
40,2019,22.49803481355137,South Dakota
41,2019,34.06526816858962,Tennessee
42,2019,28.573758618217123,Texas
43,2019,24.602713464365664,Utah
44,2019,14.053655283971818,Vermont
45,2019,31.48697794049771,Virginia
46,2019,15.280133335092865,Washington
47,2019,33.55745695455112,West Virginia
48,2019,21.499755326977127,Wisconsin
49,2019,27.057895520863447,Wyoming
