new_index,future,0,state
0,2019,0.276271811292812,Alabama
1,2019,0.391504949418182,Alaska
2,2019,0.19001195305451313,Arizona
3,2019,0.25329297073709245,Arkansas
4,2019,0.24359837014549482,California
5,2019,0.14068774072351348,Colorado
6,2019,0.11110142780198964,Connecticut
7,2019,0.22276773354980003,Delaware
8,2019,0.1612743768578886,Florida
9,2019,0.2883473092001491,Georgia
10,2019,0.2070090337891633,Hawaii
11,2019,0.09068365272045256,Idaho
12,2019,0.15704085965159942,Illinois
13,2019,0.15677247741277056,Indiana
14,2019,0.08841606496481483,Iowa
15,2019,0.12789721514689206,Kansas
16,2019,0.1873976432440282,Kentucky
17,2019,0.33947719957618777,Louisiana
18,2019,0.09892763277017308,Maine
19,2019,0.19595422437652354,Maryland
20,2019,0.12004135201348023,Massachusetts
21,2019,0.1340374616127428,Michigan
22,2019,0.11420827523822637,Minnesota
23,2019,0.35310960335314645,Mississippi
24,2019,0.1351416204415689,Missouri
25,2019,0.10723266210910923,Montana
26,2019,0.12977139713331526,Nebraska
27,2019,0.21804806843938043,Nevada
28,2019,0.07682437437325956,New Hampshire
29,2019,0.15555409460171135,New Jersey
30,2019,0.20959293016817046,New Mexico
31,2019,0.1781281411517067,New York
32,2019,0.2349785669052189,North Carolina
33,2019,0.1108983480296649,North Dakota
34,2019,0.14467468265488898,Ohio
35,2019,0.21230465269255555,Oklahoma
36,2019,0.14330837695767448,Oregon
37,2019,0.1239447944718503,Pennsylvania
38,2019,0.11315612559254185,Rhode Island
39,2019,0.28612313040390364,South Carolina
40,2019,0.16245140773065248,South Dakota
41,2019,0.2563187437834433,Tennessee
42,2019,0.30856175527860363,Texas
43,2019,0.09578981728461175,Utah
44,2019,0.0779561460124852,Vermont
45,2019,0.16908580182947397,Virginia
46,2019,0.14627504228855262,Washington
47,2019,0.128746539526399,West Virginia
48,2019,0.10223689187237343,Wisconsin
49,2019,0.08212909633706136,Wyoming
