new_index,future,0,state
0,2019,3.3956377966005147,Alabama
1,2019,1.803731046652401,Alaska
2,2019,3.836461801806574,Arizona
3,2019,2.79553933078976,Arkansas
4,2019,3.1231994427343124,California
5,2019,2.804685202560276,Colorado
6,2019,4.762286898975907,Connecticut
7,2019,4.774390639501335,Delaware
8,2019,3.128439333763852,Florida
9,2019,2.9274928503443554,Georgia
10,2019,0.5476451384797383,Hawaii
11,2019,2.333772776994645,Idaho
12,2019,3.972734579113186,Illinois
13,2019,4.43736328059314,Indiana
14,2019,2.536088125082316,Iowa
15,2019,2.876950461818059,Kansas
16,2019,3.9220844501484717,Kentucky
17,2019,2.3403205384718353,Louisiana
18,2019,4.798156462263036,Maine
19,2019,5.184139415041166,Maryland
20,2019,4.609102195909606,Massachusetts
21,2019,3.4266850219414757,Michigan
22,2019,2.279615106100074,Minnesota
23,2019,2.3559509391317546,Mississippi
24,2019,4.745486488123598,Missouri
25,2019,2.0580998952072416,Montana
26,2019,2.402626597965077,Nebraska
27,2019,3.33116411876402,Nevada
28,2019,4.804687968880787,New Hampshire
29,2019,3.642988113098968,New Jersey
30,2019,3.605472019427801,New Mexico
31,2019,3.1756560340287097,New York
32,2019,3.7741084324096223,North Carolina
33,2019,1.6052172681818524,North Dakota
34,2019,5.223290703650214,Ohio
35,2019,3.7023180733733154,Oklahoma
36,2019,2.710462712568789,Oregon
37,2019,4.216788220988661,Pennsylvania
38,2019,6.295216294311701,Rhode Island
39,2019,3.025453068283044,South Carolina
40,2019,2.5480745560940985,South Dakota
41,2019,3.8927808987432617,Tennesse
42,2019,2.4866441111474202,Texas
43,2019,2.3416953055393814,Utah
44,2019,4.899491551818087,Vermont
45,2019,4.119810395724055,Virginia
46,2019,3.883800816374744,Washington
47,2019,4.562518701904517,West Virginia
48,2019,2.598535904433448,Wisconsin
49,2019,2.032902804068992,Wyoming
