new_index,future,0,state
0,2019,0.23145195725246148,Alabama
1,2019,0.27782609252439583,Alaska
2,2019,0.33932658261132065,Arizona
3,2019,0.30080234679778506,Arkansas
4,2019,0.47438753402021405,California
5,2019,0.28125750969047564,Colorado
6,2019,0.16993516044334253,Connecticut
7,2019,0.2857598163940483,Delaware
8,2019,0.3006720127547845,Florida
9,2019,0.22082959464385601,Georgia
10,2019,0.3071532854362671,Hawaii
11,2019,0.2267500184360635,Idaho
12,2019,0.15094069795119552,Illinois
13,2019,0.1924651627281748,Indiana
14,2019,0.1289513602659102,Iowa
15,2019,0.14087900969769043,Kansas
16,2019,0.21511595342456877,Kentucky
17,2019,0.36464509627086483,Louisiana
18,2019,0.17090147121470745,Maine
19,2019,0.25162347097521875,Maryland
20,2019,0.20988188428631704,Massachusetts
21,2019,0.22308345477768118,Michigan
22,2019,0.14862521046769706,Minnesota
23,2019,0.2066180277362016,Mississippi
24,2019,0.23796367053996353,Missouri
25,2019,0.20268739939778815,Montana
26,2019,0.15977344484384903,Nebraska
27,2019,0.3551855838103825,Nevada
28,2019,0.16064143030630224,New Hampshire
29,2019,0.24454943258334014,New Jersey
30,2019,0.4446325489508195,New Mexico
31,2019,0.3530307022365635,New York
32,2019,0.23021788296291237,North Carolina
33,2019,0.09230345079208056,North Dakota
34,2019,0.18582945073964519,Ohio
35,2019,0.3671976717948817,Oklahoma
36,2019,0.4549981938392517,Oregon
37,2019,0.20596992987918955,Pennsylvania
38,2019,0.28083828332665245,Rhode Island
39,2019,0.2565344699042468,South Carolina
40,2019,0.10277461912402078,South Dakota
41,2019,0.35805244605127995,Tennessee
42,2019,0.42522029718968546,Texas
43,2019,0.25361906712875637,Utah
44,2019,0.17525588873494907,Vermont
45,2019,0.17094609112419412,Virginia
46,2019,0.39838596822403866,Washington
47,2019,0.18031894446421062,West Virginia
48,2019,0.09887119752879618,Wisconsin
49,2019,0.16055121478834466,Wyoming
